"molregno","gene_id","tool_score","strength","selectivity","investigation_bias","wilcox_pval","IC50_diff","ontarget_IC50_Q1","offtarget_IC50_Q1","ontarget_IC50_N","offtarget_IC50_N","N_total"
144959,5292,5.4091235848162,8,0.676140448102025,0.0060313630880579,2.77565024637698e-06,1.99203107032872,55,5400,5,824,829
144959,5588,6.13883841667554,8,0.767354802084443,0.00241254523522316,0.00110647651727955,3.32221929473392,2.5,5250,2,827,829
144959,5580,6.16525467434133,8,0.770656834292666,0.00361881785283474,0.000140157545816103,3.17609125905568,3.6,5400,3,826,829
144959,415116,5.51253066922385,8,0.689066333652981,0.00241254523522316,0.00144782840854503,2.64097805735833,12,5250,2,827,829
144959,5581,5.68137263545658,8,0.710171579432072,0.00361881785283474,0.000277333307481489,2.69100107466474,11,5400,3,826,829
650126,1956,9.52745608298135,8,1.19093201037267,0.0451612903225806,1e-15,4.85387196432176,0.14,10000,21,444,465
650126,2064,7.19956865285891,8,0.899946081607364,0.010752688172043,6.85466171528428e-08,3.69897000433602,2,10000,5,460,465
650126,2066,6.49659808037735,8,0.812074760047168,0.0043010752688172,0.0003811724244604,3.63780036113111,2.3025,10000,2,463,465
1283942,8317,5.54913421507422,8,0.693641776884277,0.0150375939849624,0.00834072711679821,2.87212955644017,2.1275,1584.89,2,131,133
343736,2159,6.05784067911821,8,0.757230084889777,0.133333333333333,0.0161657558966969,3.85678996733897,0.2225,1600,2,13,15
1560594,5138,6.31394075704541,8,0.789242594630676,0.166666666666667,0.0181838518657997,4.25512052862897,0.55575,10000,2,10,12
490644,5347,8.03412840564808,8,1.00426605070601,0.0109409190371991,8.54674070952196e-08,4.65757731917779,0.22,10000,5,452,457
490644,23476,5.64213459758781,8,0.705266824698476,0.00656455142231947,5.1017144637446e-05,2.50863830616573,31,10000,3,454,457
37694,3932,5.83547268176209,8,0.729434085220261,0.0303030303030303,0.0104497827854198,3.25963731050576,0.55,1000,2,64,66
328533,5600,5.90846474579291,8,0.738558093224114,0.0363636363636364,0.00419541401391452,3.28066871301627,26.2,50000,2,53,55
328533,1432,6.87331120766517,8,0.859163900958146,0.0363636363636364,0.00355115686287067,4.35163998901907,2.225,50000,2,53,55
382084,2159,8.0442964364245,8,1.00553705455306,0.133333333333333,0.00563420370802882,6,0.005,5000,2,13,15
1622499,5894,5.16680114546646,8,0.645850143183308,0.147058823529412,0.000221439417424651,2.52287874528034,1.5,500,5,29,34
214529,3932,5.03075389687717,8,0.628844237109646,0.142857142857143,0.00339098178001043,2.59423465381601,35,13750,3,18,21
170705,5159,5.44978787498849,8,0.681223484373562,0.1,0.000544125970921741,2.77815125038364,50,30000,3,27,30
170705,5156,5.07136847424077,8,0.633921059280097,0.0666666666666667,0.0189185942639245,2.56066730616974,82.5,30000,2,28,30
311715,2932,6.1988262442735,8,0.774853280534188,0.029126213592233,0.00156570802949079,3.50000032134294,1,3162.28,3,100,103
214404,2339,5.75196747529158,8,0.718995934411448,0.0263157894736842,0.00267728261246925,3.03544962162241,2.315,2511.89,3,111,114
214404,2342,5.82847205241595,8,0.728559006551994,0.0175438596491228,0.00839995088362656,3.19451798724597,1.5225,2382.7325,2,112,114
